"new_id","Date","Year","dhw_max","parrot","macro","ssta_freq_sd","temp_max","depth","exposure_fac","cyclone_mag","turbidity","urchin_sum_all"
343,"2005-03-13",2005,2.14999995194376,1.5,0.03125,1.33,305.58,5,0,50.20906,0.045414999,5
343,"2006-05-07",2006,0,3,0.04375,1.33,305.58,5,0,50.20906,0.039686002,5.75
353,"2002-03-24",2002,3.30999992601573,2,0.1625,1.27,305.32,5,1,72.545055,NA,0
353,"2003-01-13",2003,3.30999992601573,NA,0.05,1.27,305.32,5,1,72.545055,NA,0.5
356,"2002-03-26",2002,3.16999992914498,2.5,0.00625,1.12,305.5,5,1,69.55575,NA,0.5
357,"2005-03-14",2005,6.01999986544251,6.25,0,1.12,305.5,5,1,69.55575,0.033,5.25
357,"2006-05-08",2006,0.549999987706542,2.5,0.00625,1.12,305.5,5,1,69.55575,0.039250001,10.25
357,"2007-05-07",2007,1.25999997183681,3,0,1.12,305.5,5,1,69.55575,0.030818,2
365,"2015-11-25",2015,0,0,0.00625,1.87,304.29,1,0,39.490505,0.043202009,1
369,"2005-11-27",2005,0.439999990165234,9.5,0,1.7,304.61,8,0,40.302321,0.050995449,2.75
369,"2009-06-03",2009,0.289999993517995,2.75,0.025,1.7,304.61,8,0,40.302321,0.040284399,0
369,"2010-12-02",2010,2.55999994277954,1.75,0.01875,1.7,304.61,8,0,40.302321,0.039734986,0.25
369,"2011-12-12",2011,0,5.5,0.00625,1.7,304.61,8,0,40.302321,0.050253742,0.25
369,"2012-09-20",2012,0,1.25,0,1.7,304.61,8,0,40.302321,0.038500661,0
369,"2015-04-18",2015,0,4,0.0125,1.7,304.61,8,0,40.302321,0.043999999,0
383,"2002-01-13",2002,0,5.75,0,2.18,304.5,10,1,43.229822,NA,18.5
386,"2002-08-30",2002,0,4.75,0,2.37,306.07,3,0,43.467119,NA,8
386,"2003-04-23",2003,1.16999997384846,4.5,0,2.37,306.07,3,0,43.467119,0.032271797,10
388,"2001-07-28",2001,0,10.25,0,1.96,305.77,3,0,43.467119,NA,11.75
388,"2002-08-30",2002,0,5,0,1.96,305.77,3,0,43.467119,NA,9
388,"2003-08-16",2003,1.1499999742955,0.5,0,1.96,305.77,3,0,43.467119,0.028194999,14.75
388,"2007-02-25",2007,0,5,0,1.96,305.77,3,0,43.467119,0.027100001,1.75
405,"2009-11-24",2009,0.639999985694885,NA,0.00625,2.58,304.01,2,0,47.796526,NA,NA
414,"2016-11-21",2016,0.299999993294477,NA,0,2.45,304.48,1,0,47.796526,NA,0
414,"2014-06-24",2014,0,NA,0,2.45,304.48,1,0,47.796526,0.191399995,0
414,"2015-10-06",2015,1.719999961555,NA,0,2.45,304.48,1,0,47.796526,0.211599995,NA
416,"2016-11-20",2016,0.299999993294477,0,0,2.45,304.48,2,0,47.796526,NA,0
417,"2014-06-24",2014,0,NA,0.0875,2.45,304.48,1,0,47.796526,0.206799995,0
417,"2015-10-06",2015,1.719999961555,NA,0.05,2.45,304.48,1,0,47.796526,0.172199996,0
419,"2016-04-28",2016,0.449999989941716,NA,0,2.126666667,303.8666667,2,0,47.920939,NA,15.25
419,"2015-10-31",2015,1.89999995753169,0,0.025,2.126666667,303.8666667,2,0,47.920939,0.028414273,6.25
421,"2014-06-23",2014,0,NA,0,2.126666667,303.8666667,1,0,47.920939,0.037690997,0.5
421,"2015-10-07",2015,1.89999995753169,NA,0.0625,2.126666667,303.8666667,1,0,47.920939,0.028414273,0.5
424,"2016-11-20",2016,0.289999993517995,0,0.0625,1.93,304.48,2,0,47.920939,NA,0
429,"2016-10-09",2016,0.839999981224537,0,0.15625,1.38,302.69,5,1,47.26594,NA,12
430,"2016-10-09",2016,0.839999981224537,0.25,0.29375,1.38,302.69,5,1,47.26594,NA,7.25
430,"2014-11-22",2014,0,0,0.15,1.38,302.69,5,1,47.26594,0.086599998,5.25
430,"2015-09-12",2015,2.21999995037913,NA,0.2625,1.38,302.69,5,1,47.26594,0.154399996,7.75
431,"2016-03-06",2016,2.21999995037913,NA,0.25625,1.38,302.69,6,1,47.26594,0.048399999,7
436,"2016-03-05",2016,2.07999995350838,NA,0.30625,1.41,303.07,10,1,47.26594,0.048399999,1.25
437,"2011-11-27",2011,4.90999989025295,1.5,0.04375,1.41,303.07,9,1,47.26594,0.063937001,4.75
437,"2012-10-14",2012,0,0,0.1125,1.41,303.07,9,1,47.26594,0.067574002,4.25
447,"2015-12-13",2015,0.819999981671572,0,0.09375,1.1,301.66,10,1,48.039644,0.055799999,0
448,"2012-09-16",2012,0.30999999307096,0,0.0125,1.1,301.66,6,1,48.039644,0.066010997,5.25
450,"2012-10-06",2012,0,0,0.01875,1,301.95,3,1,49.089867,NA,0
450,"2013-10-17",2013,0,NA,0.3375,1,301.95,3,1,49.089867,0.032090693,0
452,"2014-12-19",2014,0,0,0,1,301.95,4,1,49.089867,0.030099602,0
452,"2015-12-12",2015,0.919999979436398,NA,0,1,301.95,4,1,49.089867,0.027048642,0
456,"2016-05-07",2016,0,0,0.00625,0.95,301.66,9,1,49.089867,NA,0
457,"2016-05-07",2016,0,0,0.0375,0.95,301.66,9,1,49.089867,NA,0
460,"2014-05-24",2014,0,0,0.00625,0.99,301.64,9,1,49.225154,0.152245,0
466,"2014-10-05",2014,0,0,0,1.06,302.35,5,0,49.225154,0.079599998,0
466,"2015-11-21",2015,0.809999981895089,0,0,1.06,302.35,5,0,49.225154,0.083399998,0
467,"2009-07-18",2009,0,0,0,1.24,303.44,5,1,49.225154,0.039102575,0
468,"2013-08-11",2013,0,NA,0,13.57,305.35,3,0,49.465596,0.041278002,0
472,"2013-08-11",2013,0.299999993294477,NA,0,2.06,306.2,3,1,48.754948,0.171985,0
473,"2012-08-18",2012,0,0.25,0.0125,2.47,304.23,6,1,41.580818,0.051385174,0
473,"2013-08-10",2013,0,NA,0.05,2.47,304.23,6,1,41.580818,0.040715356,0
478,"2016-09-18",2016,0,NA,0,1.67,303.13,7,0,51.5742,NA,0
